Starting Main App on 5003 (Production Mode)...
 * Serving Flask app 'web_app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5003
 * Running on http://10.5.0.2:5003
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [08/Jan/2026 22:44:27] "[31m[1m\x16\x03\x01\x00á\x01\x00\x00Ý\x03\x03z\x04³%*\x8d^T¨\x18Âdé\x88\x82\x84õeä\x95\x95?ÎO+¥Eïg\x09\x86q C\x0cC/Q5¶Ê\x8b\x86D\x831j\x9bÏ\x95;®Ï4¯ò\x12¹\x0fÙ]´;ÏÊ\x00$\x13\x01\x13\x02\x13\x03À/À+À0À,À'Ì©Ì¨À\x09À\x13À[0m" 400 -
127.0.0.1 - - [08/Jan/2026 22:44:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:44:29] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:44:29] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:44:30] "GET /static/asset_data.json?t=1767908670434 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:44:31] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Jan/2026 22:49:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:49:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:49:11] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:49:11] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:49:11] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:49:11] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:49:12] "GET /static/asset_data.json?t=1767908952225 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:49:12] "GET /static/asset_data.json?t=1767908952297 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:49:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:49:18] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:49:18] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:49:20] "GET /static/asset_data.json?t=1767908960127 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:49:21] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Jan/2026 22:49:28] code 400, message Bad request version ('À\x13À')
127.0.0.1 - - [08/Jan/2026 22:49:28] "[31m[1m\x16\x03\x01\x00á\x01\x00\x00Ý\x03\x03¨\x04\x04\x9dó,gÏú\x87Þ\x80\x88e4fË\x12\x17SÙF\x0eÙÃIîú¹aT\x10 þ\x1f\x16{pÍÏËù9=æTnKy»s\x06\x09Ql\x9fwr\x12N\x83ÈÈØÎ\x00$\x13\x01\x13\x02\x13\x03À/À+À0À,À'Ì©Ì¨À\x09À\x13À[0m" 400 -
127.0.0.1 - - [08/Jan/2026 22:53:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:53:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:53:23] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:53:23] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:53:23] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:53:23] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:53:23] "GET /static/asset_data.json?t=1767909203773 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:53:23] "GET /static/asset_data.json?t=1767909203946 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:53:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:53:30] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:53:30] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:53:31] "GET /static/asset_data.json?t=1767909211205 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:53:32] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Jan/2026 22:53:48] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:53:48] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Jan/2026 22:54:28] code 400, message Bad HTTP/0.9 request type ('\x16\x03\x01\x00á\x01\x00\x00Ý\x03\x03')
127.0.0.1 - - [08/Jan/2026 22:54:28] "[31m[1m\x16\x03\x01\x00á\x01\x00\x00Ý\x03\x03\x09\x14\x99S-Î_ß\x0fÃ´\x91÷{çZ9®8[0m" 400 -
127.0.0.1 - - [08/Jan/2026 22:56:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:56:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:56:01] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:56:01] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:56:01] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:56:01] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:56:01] "GET /static/asset_data.json?t=1767909361860 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:56:01] "GET /static/asset_data.json?t=1767909361945 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:56:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:56:10] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:56:10] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:56:11] "GET /static/asset_data.json?t=1767909371367 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:56:16] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Jan/2026 22:56:51] "POST /simulate HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:57:21] "POST /simulate HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:58:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:58:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:58:23] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:58:23] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:58:23] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:58:23] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 22:58:23] "GET /static/asset_data.json?t=1767909503681 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:58:23] "GET /static/asset_data.json?t=1767909503745 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 22:59:29] code 400, message Bad request version ('À\x13À')
127.0.0.1 - - [08/Jan/2026 22:59:29] "[31m[1m\x16\x03\x01\x00á\x01\x00\x00Ý\x03\x03ø\x8f;Íî¥é1\x86OØAÅæçÕæRr/ß=´?]1®üÁÇ\x153 *\x8aÄ\x17\x8aR¨\x8aô\x9c\x1f\x97Ö\x98Z\x87z\x1bvËiÒ\x07£\x82FI½YÑ\x04÷\x00$\x13\x01\x13\x02\x13\x03À/À+À0À,À'Ì©Ì¨À\x09À\x13À[0m" 400 -
127.0.0.1 - - [08/Jan/2026 23:01:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:01:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:01:29] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:01:29] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:01:29] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 23:01:29] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Jan/2026 23:01:29] "GET /static/asset_data.json?t=1767909689495 HTTP/1.1" 200 -
127.0.0.1 - - [08/Jan/2026 23:01:29] "GET /static/asset_data.json?t=1767909689666 HTTP/1.1" 200 -
